stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
137171,54314,des Moulins Est / Pierre-Dupuy,45.489370,-73.543636,1
137192,54315,Sherbrooke / de la Famille-Dubreuil,45.694233,-73.496278,1
137194,54316,Sherbrooke / de la Famille-Dubreuil,45.693926,-73.496115,1
137200,54317,Saint-Patrick / No 5200,45.466523,-73.590063,1
137214,54318,Jean-Talon / Lucerne,45.502467,-73.644626,1
137225,54319,Gouin / Grenet,45.532420,-73.719264,1
137231,54320,De Lorimier / Everett,45.551796,-73.608272,1
137233,54321,De Lorimier / Everett,45.551809,-73.608635,1
137243,54322,Décarie / Lucy,45.487618,-73.638663,1
137319,54326,Hochelaga / Centre Fernand-Séguin,45.586395,-73.526763,1
137322,54327,Jean-Brillant / Légaré,45.494197,-73.623497,1
137361,54328,Lavoie / Isabella,45.492388,-73.626753,1
137374,54329,Lacombe / Légaré,45.494993,-73.624934,1
137439,54330,Casino de Montréal,45.506401,-73.525190,1
137529,54335,Station  Jean-Drapeau,45.512182,-73.532041,1
137590,54337,Notre-Dame / 93e Avenue,45.697099,-73.485245,1
137608,54338,Meilleur / Parc Saint-Benoît,45.540426,-73.666529,1
137630,54339,Tellier / Stationnement SAQ (vers l'Est),45.585526,-73.521589,1
137690,54340,Tellier / Stationnement SAQ (vers l'Ouest),45.585461,-73.521605,1
137703,54341,de l'Acadie / Mazurette,45.533919,-73.659395,1
137804,54343,Station Atwater (Ste-Catherine / Lambert-Closse),45.489905,-73.583688,1
137810,54344,de l'Esplanade / No 9350,45.541117,-73.653332,1
137847,54346,des Pins / Docteur-Penfield,45.506416,-73.580874,1
137850,54347,de l'Esplanade / No 9449,45.541933,-73.656311,1
137862,54348,Chabanel / Jeanne-Mance,45.539664,-73.654037,1
137864,54349,Chabanel / Jeanne-Mance,45.539341,-73.653944,1
137929,54350,de l'Acadie / Place de l'Acadie,45.533856,-73.678837,1
137950,54351,Remembrance / Poste de Police,45.502235,-73.596290,2
137969,54352,de l'Esplanade / Chabanel,45.541352,-73.653646,1
137979,54353,de l'Esplanade / de Louvain,45.542111,-73.656325,1
138093,54355,Bloomfield / Jean-Talon,45.527377,-73.624247,1
138105,54356,Station Bonaventure (De La Gauchetière/Mansfield),45.499251,-73.566347,1
138149,59288,Carrie Derrick / Fernand-Seguin,45.479980,-73.539771,2
138223,54357,Crémazie / De Chateaubriand,45.548717,-73.636178,1
138272,54359,Chabanel / du Marché-Central,45.534602,-73.656588,1
138394,54361,Jean-Talon / Jean-Louis-Lévesque,45.492818,-73.654616,1
138409,54362,Jean-Talon / Jean-Louis-Lévesque,45.493429,-73.654309,1
138423,54364,Saint-Michel / Bélair,45.557791,-73.595710,1
138443,54365,de Boucherville / Hector-Barsalou,45.585330,-73.511136,1
138469,54367,Henri-Bourassa / No 9275,45.639948,-73.559810,1
138492,54369,de la Commune / Queen,45.496875,-73.553051,1
138521,54370,Brennan / Duke,45.495599,-73.553545,1
138540,54371,Saint-Jean-Baptiste / No 12060,45.660127,-73.542719,1
138563,54372,de Nazareth / Ottawa,45.496343,-73.557811,1
138591,54375,81e avenue / Sherbrooke,45.690338,-73.497246,1
138652,54376,Bélanger / des Halles,45.595713,-73.564347,1
138692,54378,Notre-Dame / 83e Avenue,45.690636,-73.489083,1
138694,54379,Notre-Dame / Antoine-Chaudillon,45.690414,-73.488984,1
138700,54380,Sherbrooke / Stationnement incitatif,45.668343,-73.505455,2
138710,54381,Cégep Marie-Victorin,45.618272,-73.607364,1
138722,54382,Wellington / Duke,45.496418,-73.555722,1
138731,54383,81e avenue / Forsyth,45.690067,-73.495603,1
138741,54384,81e Avenue / Victoria (voies ferrées),45.689582,-73.492499,1
138811,54385,Saint-Hubert / Legendre,45.551375,-73.642686,1
138831,54386,81e avenue / Notre-Dame,45.689196,-73.489987,1
138842,54387,Maurice-Duplessis / 70e Avenue,45.654284,-73.554017,2
138875,54389,Henri-Bourassa / du Bois-de-Boulogne,45.538858,-73.677829,1
138919,54391,de l'Esplanade / Guizot,45.536617,-73.635172,1
138951,54392,Monk / Philippe-Turcot,45.465027,-73.599321,1
138963,54393,Monk / Côte-Saint-Paul,45.465585,-73.599698,1
138972,54394,Henri-Bourassa / No 1405,45.539056,-73.678115,1
138981,54395,Papineau / Barnabé-Larocque,45.556513,-73.625991,1
138983,54396,Papineau / Barnabé-Larocque,45.556428,-73.626493,1
139002,54397,Maurice-Duplessis / Rivière-des-Prairies,45.650909,-73.561444,1
139019,54398,Saint-Laurent / Saint-Zotique,45.531520,-73.611216,1
139027,54399,De Maisonneuve / De Champlain,45.522287,-73.554771,1
139049,54401,Carrie Derrick / Fernand-Seguin,45.482480,-73.538866,2
139084,54404,Saint-Patrick / Briand,45.462952,-73.597218,1
139135,59308,Saint-Antoine / Saint-Urbain,45.505356,-73.558456,1
139144,59309,Saint-Antoine / de l'Hôtel-de-Ville,45.509079,-73.555557,1
139171,59312,Station Radisson Nord / Terminus,45.589609,-73.540007,1
139182,59314,Sherbrooke / Aylmer,45.505984,-73.572871,1
139192,59315,Sherbrooke / Damien-Gauthier,45.684135,-73.500013,1
139204,59316,Sherbrooke / Damien-Gauthier,45.683864,-73.499865,1
139225,60182,Gouin / No 16810,45.697575,-73.494255,2
139239,60183,Gouin / Pierre-Mercure,45.697620,-73.494110,1
139329,60204,Bridge / No 225,45.486701,-73.549983,1
139336,60212,Rodolphe-Forget / Henri-Bourassa,45.636732,-73.565584,1
139341,60213,Rodolphe-Forget / Robert-Armour,45.642382,-73.571530,1
139353,60214,Rodolphe-Forget / Robert-Armour,45.642454,-73.571986,1
139363,60224,Station Square-Victoria-OACI / Saint-Jacques,45.501202,-73.561624,1
139401,60228,Monk / Notre-Dame,45.466192,-73.599776,1
139459,60236,Station Radisson (Sherbrooke / Des Groseilliers),45.589276,-73.539476,1
139522,60247,Station Villa-Maria / Terminus,45.479771,-73.620050,1
139534,60248,Guizot / de l'Esplanade,45.537020,-73.637333,1
139545,60249,Crémazie / de Reims,45.540114,-73.642189,1
139558,60250,Station Crémazie Sud (Berri / Crémazie),45.545658,-73.637573,1
139702,60304,Perras / Rodolphe-Forget,45.649622,-73.578922,1
139713,60305,Rodolphe-Forget / Louis-Dessaulles,45.646112,-73.575746,1
139723,60306,Rodolphe-Forget / Maurice-Duplessis,45.644340,-73.573860,1
139731,60311,Rodolphe-Forget / Louis-Dessaulles,45.646070,-73.575289,1
139741,60312,Rodolphe-Forget / Perras,45.649284,-73.578717,1
139755,60313,Île Saint-Hélène / du Tour de l'Isle,45.519156,-73.534178,2
139761,60315,58e Avenue / Gouin,45.659218,-73.571233,1
139772,60316,Maurice-Duplessis / Saint-Jean-Baptiste,45.659687,-73.541471,2
139789,60317,Saint-Jean-Baptiste / No 12045,45.659943,-73.542343,1
139809,60319,Saint-Jean-Baptiste / Cité des Prairies,45.661685,-73.543599,1
139811,60320,Saint-Jean-Baptiste / Émilie-du-Chatelet,45.665987,-73.546685,1
139849,60323,Saint-Jean-Baptiste / No 12475,45.668036,-73.548152,1
139852,60324,Perras / Saint-Jean-Baptiste,45.668784,-73.548108,1
139861,60325,Rivière-des-Prairies / Perras,45.656608,-73.567518,1
