SRIDU;F;M;total;mtmx;mtmy;lng;lat;superficie
4620302.00;113.79;77.21;191;299353.7;5036165.8;-73.5696469;45.46539917;0.21
4620303.00;0;23.54;23.54;298723.7;5036164.7;-73.57770362;45.46538413;0.26
4620304.00;25.48;113.6;139.08;298719.7;5035762.2;-73.57774975;45.4617621;0.27
4620305.00;207.45;124.5;331.95;299703.4;5035690.8;-73.56517044;45.46112692;0.35
4620306.00;11.54;92.31;103.85;299751.2;5035188.6;-73.56455479;45.45660883;0.22
4620307.00;106.65;40.45;147.1;299336.7;5035247.2;-73.56985432;45.45713318;0.18
4620308.00;110.38;79.91;190.29;298986.8;5035250.9;-73.57432817;45.45716288;0.18
4620309.00;0;40.93;40.93;298604.1;5035277.2;-73.57922256;45.45739698;0.19
4620310.00;43.9;67.92;111.82;298416.6;5034658.3;-73.58161201;45.45182596;0.44
4620311.00;0;129.73;129.73;299314;5034763.1;-73.57013979;45.45277659;0.35
4620312.00;15.73;117.45;133.18;299214.9;5034385.7;-73.57140186;45.44937995;0.31
4620313.00;44.54;58.65;103.19;298588;5034136.8;-73.57941381;45.44713432;0.4
4620314.00;94.84;98.36;193.2;298182.4;5034002.9;-73.58459694;45.44592556;0.26
4620315.00;90.45;12.74;103.19;298872.4;5033513.1;-73.57577085;45.44152507;0.8
4620316.00;47.05;73.67;120.72;298289;5033031.6;-73.58322122;45.43718661;0.58
4620317.02;70.27;0;70.27;301797;5035708;-73.53840009;45.46129389;1.32
4620317.03;81.94;0;81.94;300753.3;5036000.9;-73.55174813;45.46392441;0.8
4620317.04;16.29;0;16.29;300748.8;5035012.8;-73.55179787;45.45503311;1.61
4620320.00;55.28;121.29;176.57;298250.1;5032397.9;-73.5837096;45.43148364;0.68
4620321.00;22.67;53.52;76.19;297896.2;5031875.7;-73.58822549;45.42678143;1.11
4620322.02;75.97;141.42;217.39;295742;5031222.6;-73.61574275;45.42087987;0.78
4620323.00;0;23.41;23.41;295043.1;5030852.9;-73.62466598;45.41754422;0.62
4620324.01;85.49;0;85.49;294115.8;5030935.6;-73.63651583;45.41827407;0.68
4620325.01;0;36.46;36.46;294265.7;5031959.6;-73.63462273;45.42749135;0.39
4620325.02;0;72.58;72.58;295159.1;5032052.7;-73.62320752;45.42834215;0.97
4620325.03;0;72.92;72.92;295248.1;5032660.1;-73.62208197;45.43380846;0.48
4620325.05;0;103.62;103.62;295893.4;5033455.8;-73.61384902;45.44097707;0.91
4620325.06;46.69;116.61;163.3;296190.1;5032740.9;-73.61004406;45.43454784;0.78
4620326.01;32.87;96.29;129.16;295201.9;5034005.8;-73.62269832;45.44591737;2.53
4620326.02;160.2;72.35;232.55;293505.9;5032605.3;-73.64434785;45.43328951;1.08
4620326.03;0;45.47;45.47;294199.5;5033073.9;-73.63549225;45.43751755;1.32
4620327.00;21.75;37.07;58.82;292999.9;5031642.5;-73.65079109;45.42461786;1.1
4620329.00;0;32.59;32.59;292330.1;5032165.8;-73.65936447;45.42931538;0.63
4620330.00;13.07;58.27;71.34;292829.9;5034186.4;-73.65302557;45.44750621;2.02
4620340.00;149.03;274.56;423.59;293062.2;5034839.7;-73.65007111;45.45338914;1.41
4620350.00;103.88;137.3;241.18;297912.8;5038150.7;-73.58810109;45.48324698;0.56
4620351.00;97.22;202.42;299.64;297649.1;5038427.4;-73.59147935;45.48573459;0.46
4620352.00;110.39;92.6;202.99;297036.7;5037423.5;-73.59929756;45.47669469;0.48
4620353.00;251.58;183.19;434.77;296793.2;5038035.4;-73.60242172;45.48219758;0.41
4620354.00;66.52;195.45;261.97;296584.1;5038360.2;-73.60510125;45.48511845;0.81
4620355.00;0;19.69;19.69;297401.5;5038880.7;-73.59465314;45.48981124;0.31
4620356.00;33.26;0;33.26;296357.5;5038964.5;-73.60801054;45.4905531;1
4620360.00;215.17;114.33;329.5;296976.4;5041426.6;-73.6001319;45.51271509;1.43
4620361.00;0;34.85;34.85;295737.8;5041004.5;-73.61597673;45.50890224;0.13
4620362.00;60.39;93.57;153.96;296173.3;5041655.4;-73.61041437;45.51476467;0.53
4620363.00;239.68;601.12;840.8;297134.3;5041992.8;-73.59812071;45.51781179;0.37
4620364.00;38.02;132.83;170.85;295840;5042798.2;-73.61470228;45.52504421;0.24
4620365.00;199.03;145.02;344.05;295688.7;5042630.4;-73.61663533;45.52353242;0.25
4620366.00;0;229.33;229.33;295815.3;5041912.4;-73.61500223;45.51707291;0.34
4620367.00;127.67;163.96;291.63;295459;5042356.1;-73.61957128;45.52106109;0.57
4620370.00;17.48;68.43;85.91;293442;5037857;-73.64528544;45.48054573;1.79
4620380.00;10.75;0;10.75;292920.1;5036721;-73.65193428;45.47031505;0.76
4620382.02;0;25.82;25.82;290943.8;5035555.6;-73.67717609;45.45979205;1.56
4620383.01;0;50.28;50.28;290988.1;5036067.4;-73.67662422;45.4643982;1.73
4620383.02;0;14.64;14.64;291690.8;5037548.2;-73.66767731;45.47773676;1.5
4620390.00;64.73;30.82;95.55;292043.7;5032749.3;-73.6630385;45.43456052;1.03
4620391.00;12.36;172.28;184.64;291120.4;5032387.7;-73.67483;45.43128882;0.32
4620392.00;0;193.91;193.91;290437;5032541.6;-73.6835683;45.43266019;0.44
4620393.00;44.23;88.78;133.01;290886.5;5033303.7;-73.67784437;45.43952731;1.04
4620394.00;0;70.89;70.89;292089.6;5033777.6;-73.66247929;45.44381427;1.35
4620395.01;53;55.39;108.39;289837;5035687.5;-73.69133262;45.46095565;7.61
4620395.02;31.16;58.2;89.36;289976.4;5033627.9;-73.68948764;45.44242572;0.69
4620395.03;0;61.86;61.86;289476.2;5033582.8;-73.69588038;45.44200906;0.6
4620396.00;79.79;50.48;130.27;289027.6;5033107;-73.70159935;45.43771766;1.47
4620397.00;0;61.69;61.69;288400.1;5033908.7;-73.70964683;45.44491725;1.18
4620400.00;127.49;156.98;284.47;294530.8;5042197.7;-73.63144897;45.51962204;1.38
4620401.00;56.5;91.82;148.32;293529.6;5041125.9;-73.64424016;45.50996194;0.97
4620402.00;30.27;79.45;109.72;291843.5;5039557.6;-73.66577688;45.49582067;2.54
4620403.00;18.93;61.98;80.91;292820.6;5041357.9;-73.65331905;45.51203814;1.33
4620404.00;66.29;152.25;218.54;293473.3;5042701.3;-73.64499659;45.52413751;1.44
4620410.01;51.33;15.99;67.32;290561.7;5042729.8;-73.6822703;45.52434075;0.86
4620410.02;157.35;174.44;331.79;291323.4;5041968;-73.67249814;45.51750043;0.77
4620410.03;14.81;126.93;141.74;292093.2;5042135.3;-73.66264906;45.51902052;2.18
4620412.00;0;28.54;28.54;290816.3;5040444.5;-73.67894562;45.50378165;1.46
4620413.01;0;14.06;14.06;289882.1;5040044;-73.69088763;45.50015836;0.86
4620415.04;0;21.25;21.25;289481.5;5040859.6;-73.69603981;45.50748872;0.47
4620415.05;0;72.06;72.06;285514.3;5039715.6;-73.7467648;45.49709634;10.95
4620415.06;72.89;300.31;373.2;288679.1;5038447.7;-73.70622952;45.48576788;17.92
4620416.01;40.4;47.16;87.56;287368.7;5042398.5;-73.72313301;45.52128698;0.85
4620416.02;0;23.71;23.71;287553.2;5041987.5;-73.72075641;45.51759278;1.06
4620417.01;0;109.58;109.58;289158.6;5042547.8;-73.70022589;45.52267318;0.67
4620418.00;139.91;217.29;357.2;291083.4;5041162.9;-73.6755475;45.51025184;1.3
4620419.00;0;38.46;38.46;289908.4;5042066;-73.69061236;45.5183539;0.38
4620420.00;85.16;184.35;269.51;290154;5042532.6;-73.68748329;45.5225573;0.83
4620430.00;0;88.47;88.47;286646.8;5033599;-73.73204877;45.44208707;2
4620431.00;23.55;213.89;237.44;285504.9;5033024.6;-73.74662202;45.43688777;2.19
4620432.00;23.55;17.89;41.44;283733.5;5033911.4;-73.76930141;45.44481682;1.31
4620433.00;14.57;196.62;211.19;284331.4;5036958.3;-73.76178498;45.47225116;15.39
4620450.00;76.4;300.11;376.51;281297.9;5032975.3;-73.80039104;45.43631589;3.76
4620451.00;0;48.55;48.55;281752.3;5034894.1;-73.79467316;45.45359646;3.33
4620452.00;27.67;38.32;65.99;279202.4;5034719.2;-73.82726485;45.45193387;3.17
4620453.01;27.67;127.18;154.85;280554.8;5035583.7;-73.81001722;45.45976138;1.98
4620453.02;28.88;26.6;55.48;280872.9;5036628.9;-73.80600078;45.4691771;6.64
4620460.00;14.81;175.16;189.97;276477.8;5031783.8;-73.86192975;45.42541553;3.58
4620461.00;0;35.33;35.33;274465.1;5031366.2;-73.88762351;45.42157285;1.85
4620462.01;0;57.54;57.54;276978.7;5033063.4;-73.85560143;45.43694994;2.37
4620470.01;10.9;133.85;144.75;276335.8;5033955.9;-73.86386986;45.44495473;3.59
4620470.03;0;20.8;20.8;274131.8;5033980.9;-73.89204493;45.44508678;2.39
4620470.04;0;78.51;78.51;275721.3;5034845.8;-73.87177717;45.4529373;1.55
4620470.05;0;9.2;9.2;276954.3;5035787.4;-73.8560664;45.46145979;2.11
4620480.00;74.5;106.77;181.27;272414.9;5031114.8;-73.91380367;45.41921879;6.03
4620490.00;36.69;38.29;74.98;269497.8;5029754.2;-73.95097865;45.40683485;0.71
4620491.00;50.42;124.82;175.24;271113.3;5031743.7;-73.93047811;45.42481639;9.86
4620500.00;29.24;16.8;46.04;268947.2;5032496.9;-73.95821266;45.43148603;7.49
4620511.01;0;23.75;23.75;282789.7;5041055.8;-73.78168667;45.50907575;1.45
4620511.02;0;13;13;283452;5040426.5;-73.7731833;45.50343366;1.5
4620512.02;13.48;28;41.48;277548.3;5040774.8;-73.84874841;45.50636173;1.46
4620512.04;13.48;61.1;74.58;278437.5;5040984.2;-73.83738042;45.50827974;1.77
4620513.01;0;31.28;31.28;278764.2;5040361.3;-73.83316639;45.5026874;1.11
4620513.02;49.3;31.36;80.66;278537.1;5039979.6;-73.83605169;45.49924457;1.23
4620514.01;0;6.93;6.93;276895.9;5038108.4;-73.85694552;45.48234255;1.99
4620514.02;0;41.24;41.24;276099.9;5036788.4;-73.86705066;45.47043309;1.89
4620515.04;0;29.76;29.76;274895.8;5036323.4;-73.88242146;45.46619811;0.84
4620520.02;42.3;16.97;59.27;281957.1;5039815;-73.79228411;45.49788363;1.71
4620520.04;0;46.18;46.18;281990.2;5038874.8;-73.79181643;45.48942472;1.07
4620521.04;32.52;29.82;62.34;279765.7;5039697.4;-73.82031654;45.49674967;1.39
4620521.06;32.52;0;32.52;279886.9;5038600.6;-73.8187108;45.48688497;2.07
4620522.02;0;29.21;29.21;277635.5;5037616.5;-73.84745831;45.47794605;1.07
4620523.00;13.45;33.13;46.58;279228.2;5040032.2;-73.82721245;45.49974359;0.76
4620540.00;9.85;105.58;115.43;275904.2;5037871.3;-73.86961768;45.48016934;0.86
4620550.02;9.85;0;9.85;272649.1;5039010.5;-73.9113272;45.49027787;13.34
4620550.03;58.2;128.95;187.15;275732.1;5039986.3;-73.87194362;45.49919318;5
4620550.04;0;31.24;31.24;274871.6;5039943.6;-73.88295141;45.49877256;4.43
4620570.00;15.53;36.57;52.1;302849.4;5054574.3;-73.52501719;45.63106376;12.45
4620580.01;0;51.83;51.83;305228.4;5059603.6;-73.49450152;45.67632093;1.21
4620581.01;53.35;68.85;122.2;305271.7;5058106.4;-73.49394662;45.66284843;1.31
4620581.02;32.61;0;32.61;304545.8;5058464;-73.50326294;45.66606642;0.68
4620582.01;41.48;19.41;60.89;305232.2;5057071.7;-73.49445483;45.65353874;1.18
4620582.02;18.34;39.93;58.27;305253.1;5056329.5;-73.49418661;45.64686039;1.27
4620583.00;20.74;29.47;50.21;305095.1;5055865.5;-73.49621487;45.64268459;0.75
4620584.00;15.53;20.99;36.52;304895.8;5055289.5;-73.49877072;45.63750222;1.64
4620585.01;0;44.79;44.79;304921.8;5061439;-73.49843604;45.69283642;3.49
4620585.02;32.61;78.7;111.31;303280.3;5057615;-73.51950086;45.65842564;5.56
4620590.01;0;15.32;15.32;301298.6;5052588.1;-73.54489339;45.61318563;1.42
4620590.02;0;28.46;28.46;301005.1;5052266.6;-73.54865473;45.61029091;0.29
4620591.01;13.83;44.49;58.32;301449.6;5051362.1;-73.54294911;45.60215399;0.49
4620591.02;27.17;23.03;50.2;300894.4;5051563;-73.55006823;45.60395926;0.68
4620592.00;0;35.98;35.98;300330.4;5052033.9;-73.55730191;45.6081932;0.98
4620593.01;44.08;185.13;229.21;300060.3;5050913.1;-73.56075365;45.59810606;1.02
4620593.02;0;120.2;120.2;300728.7;5050547.1;-73.55218372;45.59481703;0.48
4620594.02;0;191.41;191.41;298630.9;5052544.5;-73.57909745;45.61277485;7.88
4620600.01;0;63.27;63.27;299255.7;5050010.7;-73.57105717;45.58997967;0.75
4620601.02;0;112.06;112.06;298268.4;5048056.9;-73.58368539;45.57239049;0.42
4620602.01;0;53.05;53.05;298050.3;5048780.7;-73.58648859;45.57890135;0.55
4620602.02;0;148.84;148.84;297703.8;5048152;-73.59091954;45.57324097;0.62
4620603.01;40.81;218.35;259.16;297260;5049174.2;-73.59662137;45.58243363;0.53
4620603.02;69.23;0;69.23;296917;5048665.2;-73.60100936;45.57785042;0.62
4620603.03;42.37;0;42.37;296706.3;5049039.3;-73.6037149;45.58121357;0.35
4620604.04;0;22.2;22.2;295484.4;5049524.1;-73.61938186;45.58556112;0.78
4620604.05;25.39;18.21;43.6;295805.3;5050282.2;-73.61528402;45.59238724;0.6
4620605.03;0;45.81;45.81;297506.4;5051115.6;-73.593494;45.59990622;1.04
4620605.04;0;52.02;52.02;296710;5051450.7;-73.60370701;45.60291269;1.58
4620610.01;0;97.23;97.23;296328;5052313.4;-73.60861955;45.61067055;0.95
4620610.02;32.48;31.56;64.04;295525.9;5052430.5;-73.61890561;45.61171417;0.46
4620610.03;43.22;30.4;73.62;295039.3;5053549.3;-73.62516648;45.62177445;0.78
4620610.04;0;33.92;33.92;295324.4;5053435.2;-73.62150807;45.62075214;0.19
4620611.01;0;68.44;68.44;295297.5;5050948.1;-73.62180535;45.5983721;0.71
4620611.02;17.12;182.85;199.97;294924.7;5051361.9;-73.62659176;45.60209059;0.57
4620612.00;65.94;140.98;206.92;294542.5;5050049.6;-73.63146384;45.59027618;0.75
4620613.00;0;48.01;48.01;294103.2;5049144.7;-73.63707368;45.58212691;0.99
4620614.00;0;39.29;39.29;293333.1;5049427.1;-73.64694947;45.58465625;0.46
4620616.00;50.62;263.16;313.78;294141.6;5050734.4;-73.63661646;45.5964323;0.77
4620617.01;17.12;61.68;78.8;294622;5052536.6;-73.63049741;45.6126565;0.89
4620617.02;25.66;0;25.66;294315;5051908.5;-73.6344192;45.60700009;0.65
4620619.00;44.65;19.44;64.09;293176;5049998.2;-73.64897603;45.5897922;0.55
4620625.01;0;28.28;28.28;299955.6;5059438.7;-73.56218149;45.67482012;5.16
4620627.00;0;33.92;33.92;292988.7;5053035.1;-73.65145065;45.61711579;5.24
4620632.01;0;14.65;14.65;287700.2;5051180.5;-73.71919667;45.60031802;1.49
4620632.03;0;28.48;28.48;288672.1;5051021.9;-73.70673255;45.59891436;4.14
4620640.00;0;20.83;20.83;288481.8;5045388.2;-73.70898445;45.54821622;0.8
4620641.01;14.8;8.71;23.51;287966.3;5046714.6;-73.71563176;45.56013876;1.34
4620643.02;17.24;0;17.24;285082.9;5046948.5;-73.75257572;45.56216813;3.61
4620644.00;0;40.05;40.05;286981.9;5045438.4;-73.72819414;45.5486314;1.47
4620646.01;0;26.68;26.68;286027;5044494.4;-73.74038697;45.54011139;0.52
4620659.05;0;28.54;28.54;283170;5050251.8;-73.77722609;45.59183536;2.38
4620675.00;0;9.88;9.88;307520.6;5064578.2;-73.46505057;45.72107762;3.76
4620676.01;0;22.04;22.04;307003.5;5064818.8;-73.47169254;45.72324438;1.52
4620677.06;18.34;17.89;36.23;309205.8;5070810.4;-73.44334589;45.77714698;2.72
4620704.08;0;25.08;25.08;275081;5054602.8;-73.8811634;45.6306873;14.54
4620725.06;0;9.68;9.68;270194.8;5048904.3;-73.94342529;45.5791859;51.86
4620801.00;0;9.88;9.88;285960.5;5025459.4;-73.74050993;45.36882514;2.61
4620828.04;0;23.95;23.95;302573;5028274.2;-73.52844304;45.39440399;2.92
4620856.00;0;29.35;29.35;311047.7;5042336.4;-73.42002502;45.52091776;15.89
4620857.02;10.93;0;10.93;310904.9;5039392.6;-73.42189073;45.4944295;1.18
4620860.02;0;22.57;22.57;307028.6;5038070.1;-73.47149157;45.48255215;1.19
4620864.00;0;46.81;46.81;303951.1;5040959.8;-73.51086354;45.50855798;2
4620872.00;0;13.23;13.23;306065.2;5041066.3;-73.48380824;45.50951578;1.73
4620883.00;0;32.14;32.14;303610.6;5042057;-73.51522497;45.51843121;0.99
4620884.02;16.92;0;16.92;303770;5043610.8;-73.51318725;45.5324124;1.92
4620885.00;0;30.26;30.26;304592.1;5044865.1;-73.50266198;45.54370005;1.61
4620886.02;0;28.06;28.06;305858.9;5046387.7;-73.4864368;45.55740018;2.13
