terminalNa,stop_id,mtmx,mtmy,capacity,SRIDU,lat,lng,name
6065,63,298650.30,5039959.66,18,4620064.00,45.499532,-73.57869,de la montagne / Sherbrooke
6066,403,299187.88,5040166.94,0,4620062.00,45.5014018,-73.5718136,Mansfield / Ste-Catherine
6067,64,299165.47,5040397.36,23,4620062.00,45.503475,-73.572103,de Maisonneuve / University
6068,65,298935.13,5040341.45,12,4620062.00,45.50297,-73.57505,Mansfield / Sherbrooke
6070,67,298844.04,5040704.93,0,4620129.02,45.50624,-73.57622,University / Milton
6072,133,299234.14,5040549.44,31,4620062.00,45.504844,-73.571226,Union/Maisonneuve
6073,68,299276.04,5040567.85,0,4620062.00,45.50501,-73.57069,de Maisonneuve / Aylmer
6075,134,298509.99,5040940.41,0,4620128.00,45.508356,-73.580498,University / des Pins
6076,69,302452.59,5046257.43,18,4620016.00,45.556225,-73.530067,St-Clément/Ste-Catherine
6078,71,299395.02,5040797.78,68,4620062.00,45.50708,-73.56917,de Maisonneuve / de Bleury
6079,124,298853.41,5041107.66,0,4620131.00,45.509864,-73.576105,Hutchison/ Prince Arthur
6080,72,299002.76,5039400.04,3,4620063.00,45.49449932,-73.57417345,Mackay / René-Lévesque
6081,73,299612.92,5040566.45,33,4620062.00,45.505,-73.566379,Saint-Alexandre / Sainte-Catherine (Stationnement du Gesù)
6082,74,298328.47,5045636.66,23,4620202.00,45.550613,-73.582883,6e avenue/Rosemont
6083,75,299432.02,5040473.04,31,4620062.00,45.5041581,-73.5686929,Square Phillips
6084,76,298355.71,5038857.20,19,4620066.02,45.489609,-73.582445,Lambert-Closse / Tupper
6085,77,299854.23,5039477.18,38,4620069.00,45.4952,-73.56328,Notre-Dame / Peel
6086,290,300138.30,5039339.38,6,4620070.00,45.493962,-73.559644,Peel / Ottawa
6087,291,299733.83,5039236.01,26,4620069.00,45.49302901,-73.56481791,Notre-Dame / de la Montagne
6088,292,299555.88,5038894.09,19,4620077.00,45.489951,-73.567091,Guy / Notre-Dame
6089,78,299316.92,5039053.10,15,4620068.00,45.49138,-73.57015,Saint-Jacques / Guy
6090,79,299244.57,5039439.90,17,4620063.00,45.49486,-73.57108,Métro Lucien-L'Allier  (Lucien l'Allier/Argyle)
6091,80,298824.34,5039138.79,0,4620066.01,45.492147,-73.576453,Joseph Manceau / René-Lévesque
6092,81,299057.11,5039573.43,0,4620063.00,45.49606,-73.57348,Crescent / René-Lévesque
6093,126,297936.58,5039047.99,22,4620065.02,45.49132175,-73.5878098,Atwater / Sherbrooke
6094,194,297534.08,5042865.48,19,4620171.00,45.525669,-73.593016,Gaspé / Fairmount
6095,84,298250.03,5039074.13,19,4620065.02,45.49156,-73.5838,Chomedey / de Maisonneuve
6096,85,299383.68,5039338.76,16,4620069.00,45.493951,-73.569299,Torrance/Lucien L'Aller
6097,86,298462.11,5039178.82,25,4620065.01,45.492504,-73.581088,Towers/ Ste-Catherine
6098,87,298847.69,5039613.63,27,4620063.00,45.49642,-73.57616,Bishop / Sainte-Catherine
6099,88,298710.84,5039725.00,0,4620064.00,45.49742103,-73.57791245,Bishop / de Maisonneuve
6100,89,298664.05,5039632.70,34,4620064.00,45.49659,-73.57851,de Maisonneuve / Mackay
6101,90,295434.98,5037735.57,11,4620108.00,45.479483,-73.61979,Metro Villa Maria (Décarie / Monkland)
6102,91,298247.38,5039237.94,15,4620065.02,45.493034,-73.583836,Lincoln / Dufort
6103,92,300700.24,5044321.76,19,4620034.00,45.538799,-73.552496,Lespérance/Rouen
6104,93,300567.48,5041885.15,12,4620043.00,45.51687265,-73.5541749,Wolfe / René-Lévesque
6105,94,300737.59,5042181.46,19,4620042.00,45.51954,-73.552,Plessis / René-Lévesque
6106,95,300951.75,5042359.14,4,4620041.00,45.52114,-73.54926,René-Lévesque / Papineau
6107,96,298610.90,5039313.58,21,4620066.01,45.493718,-73.579186,St-Mathieu /Ste-Catherine
6108,97,300809.70,5043171.45,19,4620038.00,45.52844869,-73.551085,Logan / Fullum
6109,98,303091.58,5039819.19,19,4620040.00,45.498293,-73.52186,Plage du parc Jean-Drapeau
6110,99,301174.91,5043236.16,14,4620039.00,45.529033,-73.54641,Poupart / Sainte-Catherine
6111,100,300946.63,5042923.68,18,4620039.00,45.52622,-73.54933,Parthenais / Sainte-Catherine
6112,101,300279.76,5042139.21,19,4620044.00,45.519157,-73.55786,Montcalm/Maisonneuve
6113,102,300476.84,5042443.90,19,4620045.00,45.5219,-73.55534,Alexandre-DeSève / Maisonneuve
