Name;Number;longitude;latitude;;;;
Omer-Lavallée / Midway;6381;-73.561937;45.545474;;;;
Ontario / Dézéry;6393;-73.547407;45.541044;;;;
Ontario/Ville Marie;6720;-73.53504;45.559889;;;;
Outremont / Ogilvy;6745;-73.626672;45.526856;;;;
Palm/St-Remi;6313;-73.589848;45.470303;;;;
Parc du Mont-Royal;6216;-73.58503;45.51496;;;;
Parc du Pélican (2e ave/St-Joseph);6916;-73.571564;45.544513;;;;
Parc J.-Arthur-Champagne (Chambly/Mont-Royal);6380;-73.561916;45.551584;;;;
Parc Jean-Brillant (Swail / Decelles);6316;-73.618575;45.497011;;;;
Parc Outremont (Bloomfield / Elmwood);6301;-73.603251;45.518215;;;;
Parc Père-Marquette (Chambord / Rosemont);6258;-73.593126;45.537035;;;;
Parc Rosemont (Dandurand/d'Iberville);6905;-73.581018;45.544377;;;;
Park Row W/Sherbrooke;6719;-73.632297;45.461843;;;;
Parthenais / Laurier;6265;-73.577338;45.539259;;;;
Parthenais / Sainte-Catherine;6111;-73.54933;45.52622;;;;
Peel / ave des Canadiens de Montréal;6057;-73.568646;45.497697;;;;
Peel / Ottawa;6086;-73.559644;45.493962;;;;
Pierre-de-Coubertin / Aird;6395;-73.548687;45.55896;;;;
Place de la paix (St-Dominique/place du marché);6180;-73.561976;45.50965;;;;
Place du Commerce;6429;-73.54259;45.46714;;;;
Place Longueuil;5003;-73.5178;45.5294;;;;
Plage du parc Jean-Drapeau;6109;-73.52186;45.498293;;;;
Plessis / Ontario;6116;-73.560941;45.523584;;;;
Plessis / René-Lévesque;6105;-73.552;45.51954;;;;
Pontiac/Gilford;6190;-73.585852;45.527008;;;;
Poupart / Ontario;6120;-73.553435;45.53194;;;;
Poupart / Sainte-Catherine;6110;-73.54641;45.529033;;;;
Poupart/Ontario;6124;-73.553478;45.531834;;;;
President kennedy/Mcgill College;6424;-73.573986;45.503063;;;;
Président-kennedy/Jeanne Mance;6005;-73.5689;45.508349;;;;
Prince-Arthur / du Parc;6206;-73.57547;45.51059;;;;
Prince-Arthur / Saint-Urbain;6218;-73.573489;45.512762;;;;
Prince/Ottawa;6048;-73.556716;45.497438;;;;
Quai de la navette fluviale;6502;-73.537658;45.511146;;;;
Querbes / Laurier;6241;-73.597724;45.517345;;;;
Quesnel/Vinet;6404;-73.577514;45.485889;;;;
Rachel / Brébeuf;6143;-73.57264;45.52689;;;;
Rachel/Des Érables;6750;-73.566776;45.533501;;;;
Regina / Verdun;6341;-73.570769;45.467369;;;;
René-Lévesque / Papineau;6106;-73.54926;45.52114;;;;
Repentigny/Sherbrooke;6739;-73.544766;45.58077;;;;
Richardson/Montmorency;6727;-73.560323;45.484857;;;;
Robin / de la Visitation;6117;-73.55922;45.52087;;;;
Rockland / Lajoie;6304;-73.614991;45.515617;;;;
Ross / Ave de Léglise;6425;-73.565845;45.462742;;;;
Rouen / Fullum;6126;-73.55859;45.53217;;;;
Rousselot/Jarry;6734;-73.621091;45.550896;;;;
Rousselot/Villeray;6733;-73.616837;45.548931;;;;
Roy / Saint-Denis;6174;-73.5727;45.51908;;;;
Roy / Saint-Laurent;6211;-73.57569;45.51561;;;;
Rue St-André / Roy;6044;-73.570209;45.52169;;;;
Rufus Rockhead/Atwater;6748;-73.575812;45.479728;;;;
Rushbrooke / Gilberte-Dubé;6427;-73.564845;45.471479;;;;
Saint-André / Ontario;6018;-73.56353;45.51889;;;;
Saint-André / Rachel;6177;-73.575771;45.524222;;;;
Saint-André / Saint-Antoine;6011;-73.552439;45.514076;;;;
Saint-Antoine / Canning (Metro George-Vanier);6408;-73.57656;45.4891;;;;
Saint-Antoine / Saint-François-Xavier;6031;-73.5592;45.50449;;;;
Saint-Cuthbert / Saint-Urbain;6215;-73.57821;45.51494;;;;
Saint-Dominique / Jean talon;6344;-73.617459;45.535189;;;;
Saint-Dominique / Saint-Viateur;6235;-73.59823286533356;45.52654331973003;;;;
Saint-Jacques / Gauvin;6041;-73.561082;45.500674;;;;
Saint-Jacques / Guy;6089;-73.57015;45.49138;;;;
Saint-Jacques / Saint-Pierre;6040;-73.55917;45.5028;;;;
Saint-Nicolas / Place d'Youville;6037;-73.55515658855438;45.50197437877896;;;;
Saint-Urbain / René-Lévesque;6034;-73.563112;45.5079;;;;
Saint-Vallier / Saint-Zotique;6257;-73.607773;45.536299;;;;
Saint-Viateur / du Parc;6231;-73.6019;45.52246;;;;
Sainte-Catherine / McGill College;6061;-73.57128;45.50176;;;;
Sainte-Catherine / Saint-Denis;6901;-73.56054782867432;45.51371137074363;;;;
Sainte-Famille / des Pins;6207;-73.57701659202576;45.51281294953485;;;;
Sainte-Famille / Sherbrooke;6202;-73.570654;45.510016;;;;
Sanguinet / de Maisonneuve;6013;-73.56255;45.51339;;;;
Sanguinet / Ontario;6020;-73.565338;45.514784;;;;
Sanguinet /Ste-Catherine;6008;-73.561438;45.512738;;;;
Sherbrooke / Frontenac;6130;-73.56081;45.5367;;;;
Sicard/Ontario;6355;-73.5373;45.5566;;;;
Sir Georges Etienne Cartier/Ste-Émilie;6402;-73.585369;45.472743;;;;
Square Phillips 2;6413;-73.568031;45.503797;;;;
Square Saint-Louis;6214;-73.56906;45.51735;;;;
Square Sir-Georges-Étienne-Cartier / Léa Roback;6724;-73.58247;45.471926;;;;
Square Victoria;6043;-73.56295;45.50206;;;;
St-André / Duluth;6176;-73.573431;45.523171;;;;
St-André/ Mont-Royal;6187;-73.580927;45.526466;;;;
St-André/Cherrier;6175;-73.567733;45.520578;;;;
St-André/Laurier;6169;-73.587479;45.529511;;;;
St-André/Maisonneuve;6729;-73.559781;45.517062;;;;
St-Andre/Robin;6017;-73.56166;45.51804;;;;
St-André/St-Grégoire;6929;-73.59155;45.53133;;;;
St-André/St-Joseph;6281;-73.585573;45.528586;;;;
St-Charles / Châteauguay;5002;-73.5156;45.5332;;;;
St-Charles / St-Sylvestre;5005;-73.512776;45.536408;;;;
St-Charles/Charlotte;5004;-73.508752;45.539824;;;;
St-Clément/Ste-Catherine;6076;-73.530067;45.556225;;;;
St-Denis / de Maisonneuve;6014;-73.562152;45.514649;;;;
St-Dominique / Villeray;6322;-73.624872;45.537813;;;;
St-Dominique/Rachel;6248;-73.581566;45.518593;;;;
St-Jacques/St-Laurent;6749;-73.556352;45.506445;;;;
St-Marc/Sherbrooke;6743;-73.583368;45.494514;;;;
St-Mathieu /Ste-Catherine ;6107;-73.579186;45.493718;;;;
St-Valier/Rosemont;6906;-73.597943;45.531968;;;;
St-Zotique/39e;6703;-73.574892;45.573621;;;;
St-Zotique/Clark;6191;-73.612674;45.531401;;;;
