idFeuillet;lng;lat;SRIDU;mtmx;mtmy;popLogi;facteurLogement;popPonderee;1kmCountBIXIstops;500mCountBIXIstops;1kmCountBIXIcapacity;500mCountBIXIcapacity;1kmCountAMTstops;500mCountAMTstops;1kmCountAMTcountStopTimes;500mCountAMTcountStopTimes;1kmCountSTMstops;500mCountSTMstops;1kmCountSTMcountStopTimes;500mCountSTMcountStopTimes;1kmCountSTMcountStopTimesSemaine;500mCountSTMcountStopTimesSemaine;1kmCountSTMcountStopTimesSamedi;500mCountSTMcountStopTimesSamedi;1kmCountSTMcountStopTimesDimanche;500mCountSTMcountStopTimesDimanche
41619;-73.61948853;45.51849533;4620367.00;295465;5042071;2;16.16;32.3;8;4;124;61;0;0;0;0;91;22;59928;14346;14398;3674;11968;2806;11138;2622
196384;-73.5854947;45.52055947;4620139.00;298121;5042297;1;43.13;43.1;40;14;689;257;0;0;0;0;119;33;90392;27827;22863;6502;18639;5997;16037;5054
75764;-73.63210897;45.46907096;4620099.00;294470;5036580;3;24.71;74.1;6;1;78;15;0;0;0;0;99;27;71439;14121;18091;3431;14518;2828;12573;2570
121514;-73.64483152;45.49310844;4620112.01;293480;5039253;1;35.06;35.1;2;0;28;0;0;0;0;0;112;30;51164;15405;12346;3667;10091;3086;9565;2884
90011;-73.62904066;45.46390934;4620099.00;294709;5036006;1;27.94;27.9;5;2;63;30;0;0;0;0;86;31;65660;24047;16581;6121;13376;4902;11447;4186
143825;-73.59338025;45.52855287;4620171.00;297506;5043186;3;28.4;85.2;35;9;669;128;0;0;0;0;118;30;69927;15205;18544;3917;14226;3119;12175;2672
179100;-73.53877342;45.59598199;4620192.00;301775;5050676;3;25.48;76.4;0;0;0;0;0;0;0;0;83;26;74779;26921;18614;6714;14881;5420;13526;4827
202305;-73.52090811;45.60272637;4620002.00;303169;5051425;1;25.82;25.8;0;0;0;0;0;0;0;0;70;19;56755;13350;13113;3036;11392;2626;10478;2530
192306;-73.51854674;45.59472731;4620006.00;303353;5050536;1;25.82;25.8;0;0;0;0;0;0;0;0;62;11;43592;7324;10140;1716;8470;1418;8302;1394
41156;-73.6656929;45.47792668;4620383.02;291846;5037569;2;24.15;48.3;0;0;0;0;0;0;0;0;49;27;24582;11420;6230;2860;4720;2200;4544;2120
