SRIDU;F;M;total
4620263.00;;1;1
4620264.01;5;11;16
4620264.02;3;8;11
4620265.00;2;2;4
4620266.00;4;2;6
4620267.00;1;6;7
4620268.01;2;5;7
4620268.03;3;3;6
4620269.00;2;4;6
4620270.00;1;3;4
4620271.00;3;4;7
4620272.00;3;2;5
4620273.00;3;3;6
4620275.00;1;;1
4620276.00;4;6;10
4620277.00;7;9;16
4620278.00;13;11;24
4620279.00;6;5;11
4620280.00;3;6;9
4620281.00;3;7;10
4620282.00;2;7;9
4620283.01;;1;1
4620283.02;1;2;3
4620284.00;1;1;2
4620285.00;4;8;12
4620287.01;;1;1
4620287.02;1;3;4
4620290.02;;2;2
4620290.04;2;2;4
4620290.05;2;1;3
4620290.06;;1;1
4620290.08;;1;1
4620291.01;;1;1
4620291.03;1;2;3
4620291.04;1;1;2
4620300.00;3;5;8
4620301.00;1;4;5
4620302.00;4;4;8
4620303.00;;1;1
4620304.00;1;4;5
4620305.00;6;5;11
4620306.00;1;3;4
4620307.00;4;1;5
4620308.00;2;2;4
4620309.00;;2;2
4620310.00;2;3;5
4620311.00;;5;5
4620312.00;1;5;6
4620313.00;2;3;5
4620314.00;3;4;7
4620315.00;3;1;4
4620316.00;2;3;5
4620317.02;2;;2
4620317.03;2;;2
4620317.04;1;;1
4620320.00;3;5;8
4620321.00;1;2;3
4620322.02;3;4;7
4620323.00;;1;1
4620324.01;3;;3
4620325.01;;1;1
4620325.02;;3;3
4620325.03;;2;2
4620325.05;;4;4
4620325.06;2;4;6
4620326.01;1;4;5
4620326.02;5;2;7
4620326.03;;2;2
4620327.00;1;1;2
4620329.00;;1;1
4620330.00;1;3;4
4620340.00;8;14;22
4620350.00;6;5;11
4620351.00;3;7;10
4620352.00;5;4;9
4620353.00;9;5;14
4620354.00;2;5;7
4620355.00;;1;1
4620356.00;1;;1
4620360.00;9;3;12
4620361.00;;1;1
4620362.00;2;4;6
4620363.00;12;24;36
4620364.00;2;5;7
4620365.00;7;7;14
4620366.00;;10;10
4620367.00;6;7;13
4620370.00;1;2;3
4620380.00;1;;1
4620382.02;;1;1
4620383.01;;3;3
4620383.02;;1;1
4620390.00;2;2;4
4620391.00;1;7;8
4620392.00;;8;8
4620393.00;2;5;7
4620394.00;;2;2
4620395.01;3;3;6
4620395.02;1;2;3
4620395.03;;2;2
4620396.00;3;3;6
4620397.00;;3;3
4620400.00;7;9;16
4620401.00;3;7;10
4620402.00;1;1;2
4620403.00;1;4;5
4620404.00;3;10;13
4620410.01;2;1;3
4620410.02;5;8;13
4620410.03;1;5;6
4620412.00;;1;1
4620413.01;;1;1
4620415.04;;1;1
4620415.05;;3;3
4620415.06;3;10;13
4620416.01;2;2;4
4620416.02;;1;1
4620417.01;;4;4
4620418.00;5;10;15
4620419.00;;2;2
4620420.00;3;7;10
4620430.00;;4;4
4620431.00;1;9;10
4620432.00;1;1;2
4620433.00;1;8;9
4620450.00;3;11;14
4620451.00;;2;2
4620452.00;1;2;3
4620453.01;1;5;6
4620453.02;2;1;3
4620460.00;1;7;8
4620461.00;;2;2
4620462.01;;2;2
4620470.01;1;5;6
4620470.03;;1;1
4620470.04;;4;4
4620470.05;;1;1
4620480.00;6;5;11
4620490.00;4;2;6
4620491.00;4;9;13
4620500.00;3;2;5
4620511.01;;1;1
4620511.02;;1;1
4620512.02;1;1;2
4620512.04;1;2;3
4620513.01;;1;1
4620513.02;2;1;3
4620514.01;;1;1
4620514.02;;2;2
4620515.04;;1;1
4620520.02;2;1;3
4620520.04;;2;2
4620521.04;1;1;2
4620521.06;1;;1
4620522.02;;1;1
4620523.00;1;1;2
4620540.00;1;6;7
4620550.02;1;;1
4620550.03;4;9;13
4620550.04;;3;3
4620570.00;1;2;3
4620580.01;;3;3
4620581.01;2;3;5
4620581.02;1;;1
4620582.01;2;1;3
4620582.02;1;2;3
4620583.00;1;1;2
4620584.00;1;1;2
4620585.01;;1;1
4620585.02;1;2;3
4620590.01;;1;1
4620590.02;;1;1
