stop_id,mtmx,mtmy,lat,lng,wheelchair,SRIDU,stop_name,countStopTimes,countStopTimesSemaine,countStopTimesSamedi,countStopTimesDimanche
103834,292407.18,5045405.64,45.548454,-73.658713,1,4620270.00,Sauvé / Laverdure,902,246,169,149
103848,292448.99,5044275.91,45.538289,-73.658149,1,4620270.00,Meilleur / de Louvain,416,96,82,76
103852,292448.57,5046675.24,45.559879,-73.658215,1,4620272.00,Fleury / Chambord,527,190,86,81
103854,292451.08,5046645.68,45.559613,-73.658182,1,4620272.00,Fleury / Chambord,528,183,89,80
103862,292465.41,5047972.34,45.571551,-73.658032,1,4620275.00,Henri-Bourassa / Séguin,790,226,145,123
103864,292484.60,5047925.85,45.571133,-73.657785,1,4620275.00,Henri-Bourassa / Séguin,2315,629,446,396
103871,292330.71,5039892.68,45.498845,-73.659552,1,4620403.00,Décarie / de la Savane,484,106,96,94
103881,292422.22,5043452.25,45.530877,-73.658471,1,4620268.02,Charles-De La Tour / Chabanel,68,68,0,0
103883,292394.72,5043449.08,45.530848,-73.658823,1,4620268.02,Charles-De La Tour / Chabanel,68,68,0,0
103892,292525.37,5048142.15,45.57308,-73.657268,1,4620275.00,Henri-Bourassa / De Saint-Firmin,2147,590,411,358
103893,292511.30,5048129.84,45.572969,-73.657448,1,4620275.00,De Saint-Firmin / Henri-Bourassa,531,152,98,85
103894,292543.69,5048092.66,45.572635,-73.657032,1,4620275.00,Henri-Bourassa / De Saint-Firmin,843,239,155,137
103901,292531.91,5046816.66,45.561153,-73.657151,1,4620273.00,Christophe-Colomb / Fleury,402,82,82,76
103902,292514.06,5046831.70,45.561288,-73.65738,1,4620273.00,Fleury / Christophe-Colomb,527,190,86,81
103903,292498.96,5046812.95,45.561119,-73.657573,1,4620273.00,Christophe-Colomb / Fleury,397,85,80,74
103904,292513.28,5046794.58,45.560954,-73.657389,1,4620273.00,Fleury / Christophe-Colomb,528,183,89,80
103911,292544.48,5046181.52,45.555438,-73.656974,1,4620272.00,Saint-Hubert / Sauriol,458,184,70,68
103913,292518.09,5046177.46,45.555401,-73.657312,1,4620272.00,Saint-Hubert / Sauriol,377,97,70,70
103921,292544.43,5045156.88,45.546218,-73.656949,1,4620270.00,Saint-Laurent / de Port-Royal,476,128,104,80
103923,292506.71,5045152.29,45.546176,-73.657432,1,4620270.00,Saint-Laurent / de Port-Royal,434,116,80,78
103932,292578.06,5046984.60,45.562665,-73.656564,1,4620276.00,Fleury / Hamel,527,190,86,81
103934,292580.42,5046955.04,45.562399,-73.656533,1,4620273.00,Fleury / Hamel,528,183,89,80
103940,292556.96,5043775.71,45.53379,-73.656754,1,4620223.01,Chabanel / de l'Acadie,88,88,0,0
